@relation winequality-white-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.supervised.instance.ClassBalancer-num-intervals10-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C13-Llast-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last

@attribute fixedacidity {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute volatileacidity {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute citricacid {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute residualsugar {'\'(-inf-0.039034]\'','\'(0.039034-0.078067]\'','\'(0.078067-0.117101]\'','\'(0.117101-0.156135]\'','\'(0.156135-0.195169]\'','\'(0.195169-0.234202]\'','\'(0.234202-0.273236]\'','\'(0.273236-0.31227]\'','\'(0.31227-0.351304]\'','\'(0.351304-inf)\''}
@attribute chlorides {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute freesulfurdioxide {'\'(-inf-0.037631]\'','\'(0.037631-0.075261]\'','\'(0.075261-0.112892]\'','\'(0.112892-0.150523]\'','\'(0.150523-0.188153]\'','\'(0.188153-0.225784]\'','\'(0.225784-0.263415]\'','\'(0.263415-0.301045]\'','\'(0.301045-0.338676]\'','\'(0.338676-inf)\''}
@attribute totalsulfurdioxide {'\'(-inf-0.077726]\'','\'(0.077726-0.155452]\'','\'(0.155452-0.233179]\'','\'(0.233179-0.310905]\'','\'(0.310905-0.388631]\'','\'(0.388631-0.466357]\'','\'(0.466357-0.544084]\'','\'(0.544084-0.62181]\'','\'(0.62181-0.699536]\'','\'(0.699536-inf)\''}
@attribute density {'\'(-inf-0.030538]\'','\'(0.030538-0.061076]\'','\'(0.061076-0.091614]\'','\'(0.091614-0.122152]\'','\'(0.122152-0.152689]\'','\'(0.152689-0.183227]\'','\'(0.183227-0.213765]\'','\'(0.213765-0.244303]\'','\'(0.244303-0.274841]\'','\'(0.274841-inf)\''}
@attribute ph {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute sulphates {'\'(-inf-0.087209]\'','\'(0.087209-0.174419]\'','\'(0.174419-0.261628]\'','\'(0.261628-0.348837]\'','\'(0.348837-0.436047]\'','\'(0.436047-0.523256]\'','\'(0.523256-0.610465]\'','\'(0.610465-0.697674]\'','\'(0.697674-0.784884]\'','\'(0.784884-inf)\''}
@attribute alcohol {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute quality {3,4,5,6,7,8,9}

@data
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.117101-0.156135]\'','\'(-inf-0.1]\'','\'(0.037631-0.075261]\'','\'(0.155452-0.233179]\'','\'(0.091614-0.122152]\'','\'(0.5-0.6]\'','\'(0.087209-0.174419]\'','\'(0.7-0.8]\'',6
'\'(0.4-0.5]\'','\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.078067-0.117101]\'','\'(0.1-0.2]\'','\'(0.037631-0.075261]\'','\'(0.155452-0.233179]\'','\'(0.152689-0.183227]\'','\'(0.4-0.5]\'','\'(0.436047-0.523256]\'','\'(0.4-0.5]\'',5
'\'(0.2-0.3]\'','\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(0.075261-0.112892]\'','\'(0.233179-0.310905]\'','\'(0.030538-0.061076]\'','\'(0.6-0.7]\'','\'(0.087209-0.174419]\'','\'(0.9-inf)\'',7
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(0.112892-0.150523]\'','\'(0.155452-0.233179]\'','\'(0.030538-0.061076]\'','\'(0.5-0.6]\'','\'(0.261628-0.348837]\'','\'(0.6-0.7]\'',6
'\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.039034-0.078067]\'','\'(-inf-0.1]\'','\'(0.075261-0.112892]\'','\'(0.233179-0.310905]\'','\'(0.091614-0.122152]\'','\'(0.6-0.7]\'','\'(0.523256-0.610465]\'','\'(0.7-0.8]\'',7
'\'(0.2-0.3]\'','\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.039034-0.078067]\'','\'(-inf-0.1]\'','\'(0.112892-0.150523]\'','\'(0.233179-0.310905]\'','\'(0.091614-0.122152]\'','\'(0.7-0.8]\'','\'(0.523256-0.610465]\'','\'(0.6-0.7]\'',6
'\'(0.2-0.3]\'','\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.039034-0.078067]\'','\'(-inf-0.1]\'','\'(0.225784-0.263415]\'','\'(0.233179-0.310905]\'','\'(0.061076-0.091614]\'','\'(0.4-0.5]\'','\'(0.174419-0.261628]\'','\'(0.5-0.6]\'',6
'\'(0.1-0.2]\'','\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(0.1-0.2]\'','\'(0.075261-0.112892]\'','\'(0.155452-0.233179]\'','\'(0.091614-0.122152]\'','\'(0.6-0.7]\'','\'(0.348837-0.436047]\'','\'(0.3-0.4]\'',6
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.078067-0.117101]\'','\'(-inf-0.1]\'','\'(0.150523-0.188153]\'','\'(0.233179-0.310905]\'','\'(0.061076-0.091614]\'','\'(0.4-0.5]\'','\'(0.087209-0.174419]\'','\'(0.7-0.8]\'',6
'\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.078067-0.117101]\'','\'(0.1-0.2]\'','\'(0.150523-0.188153]\'','\'(0.388631-0.466357]\'','\'(0.152689-0.183227]\'','\'(0.3-0.4]\'','\'(0.087209-0.174419]\'','\'(0.1-0.2]\'',5
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.156135-0.195169]\'','\'(0.1-0.2]\'','\'(0.338676-inf)\'','\'(0.310905-0.388631]\'','\'(0.183227-0.213765]\'','\'(0.3-0.4]\'','\'(0.261628-0.348837]\'','\'(0.2-0.3]\'',6
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.078067-0.117101]\'','\'(0.1-0.2]\'','\'(0.301045-0.338676]\'','\'(0.310905-0.388631]\'','\'(0.122152-0.152689]\'','\'(0.4-0.5]\'','\'(0.087209-0.174419]\'','\'(0.3-0.4]\'',6
'\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(0.039034-0.078067]\'','\'(-inf-0.1]\'','\'(0.037631-0.075261]\'','\'(0.155452-0.233179]\'','\'(0.030538-0.061076]\'','\'(0.4-0.5]\'','\'(0.348837-0.436047]\'','\'(0.8-0.9]\'',7
'\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.039034-0.078067]\'','\'(-inf-0.1]\'','\'(0.112892-0.150523]\'','\'(0.155452-0.233179]\'','\'(0.030538-0.061076]\'','\'(0.4-0.5]\'','\'(0.348837-0.436047]\'','\'(0.8-0.9]\'',6
'\'(0.4-0.5]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(0.1-0.2]\'','\'(0.188153-0.225784]\'','\'(0.233179-0.310905]\'','\'(0.061076-0.091614]\'','\'(0.3-0.4]\'','\'(0.348837-0.436047]\'','\'(0.4-0.5]\'',6
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.117101-0.156135]\'','\'(0.1-0.2]\'','\'(0.225784-0.263415]\'','\'(0.233179-0.310905]\'','\'(0.152689-0.183227]\'','\'(0.4-0.5]\'','\'(0.174419-0.261628]\'','\'(0.3-0.4]\'',6
'\'(0.3-0.4]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.156135-0.195169]\'','\'(0.1-0.2]\'','\'(0.188153-0.225784]\'','\'(0.388631-0.466357]\'','\'(0.213765-0.244303]\'','\'(0.3-0.4]\'','\'(0.261628-0.348837]\'','\'(-inf-0.1]\'',4
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.3-0.4]\'','\'(0.078067-0.117101]\'','\'(0.1-0.2]\'','\'(0.150523-0.188153]\'','\'(0.388631-0.466357]\'','\'(0.152689-0.183227]\'','\'(0.3-0.4]\'','\'(0.261628-0.348837]\'','\'(0.2-0.3]\'',5
'\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(0.1-0.2]\'','\'(0.112892-0.150523]\'','\'(0.155452-0.233179]\'','\'(0.091614-0.122152]\'','\'(0.5-0.6]\'','\'(0.174419-0.261628]\'','\'(0.3-0.4]\'',7
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.234202-0.273236]\'','\'(0.1-0.2]\'','\'(0.150523-0.188153]\'','\'(0.233179-0.310905]\'','\'(0.183227-0.213765]\'','\'(0.4-0.5]\'','\'(0.174419-0.261628]\'','\'(0.4-0.5]\'',5
'\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(0.1-0.2]\'','\'(0.037631-0.075261]\'','\'(0.155452-0.233179]\'','\'(0.061076-0.091614]\'','\'(0.3-0.4]\'','\'(0.261628-0.348837]\'','\'(0.5-0.6]\'',5
'\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.117101-0.156135]\'','\'(0.1-0.2]\'','\'(0.188153-0.225784]\'','\'(0.310905-0.388631]\'','\'(0.183227-0.213765]\'','\'(0.4-0.5]\'','\'(0.261628-0.348837]\'','\'(0.2-0.3]\'',5
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.234202-0.273236]\'','\'(0.1-0.2]\'','\'(0.112892-0.150523]\'','\'(0.233179-0.310905]\'','\'(0.213765-0.244303]\'','\'(0.3-0.4]\'','\'(0.261628-0.348837]\'','\'(0.1-0.2]\'',6
'\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(-inf-0.039034]\'','\'(0.1-0.2]\'','\'(0.075261-0.112892]\'','\'(0.233179-0.310905]\'','\'(0.091614-0.122152]\'','\'(0.3-0.4]\'','\'(0.348837-0.436047]\'','\'(0.4-0.5]\'',5
'\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.078067-0.117101]\'','\'(0.1-0.2]\'','\'(0.075261-0.112892]\'','\'(0.233179-0.310905]\'','\'(0.091614-0.122152]\'','\'(0.3-0.4]\'','\'(0.348837-0.436047]\'','\'(0.6-0.7]\'',6
'\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(0.037631-0.075261]\'','\'(0.077726-0.155452]\'','\'(0.061076-0.091614]\'','\'(0.3-0.4]\'','\'(0.436047-0.523256]\'','\'(0.7-0.8]\'',6
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.156135-0.195169]\'','\'(0.1-0.2]\'','\'(0.112892-0.150523]\'','\'(0.233179-0.310905]\'','\'(0.152689-0.183227]\'','\'(0.4-0.5]\'','\'(0.087209-0.174419]\'','\'(0.4-0.5]\'',6
'\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.078067-0.117101]\'','\'(0.1-0.2]\'','\'(0.075261-0.112892]\'','\'(0.155452-0.233179]\'','\'(0.091614-0.122152]\'','\'(0.2-0.3]\'','\'(0.087209-0.174419]\'','\'(0.5-0.6]\'',6
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.117101-0.156135]\'','\'(-inf-0.1]\'','\'(0.150523-0.188153]\'','\'(0.233179-0.310905]\'','\'(0.122152-0.152689]\'','\'(0.4-0.5]\'','\'(0.174419-0.261628]\'','\'(0.4-0.5]\'',5
'\'(0.3-0.4]\'','\'(0.2-0.3]\'','\'(-inf-0.1]\'','\'(0.039034-0.078067]\'','\'(0.1-0.2]\'','\'(0.037631-0.075261]\'','\'(0.077726-0.155452]\'','\'(0.122152-0.152689]\'','\'(0.2-0.3]\'','\'(0.174419-0.261628]\'','\'(0.1-0.2]\'',5
'\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(-inf-0.1]\'','\'(0.078067-0.117101]\'','\'(-inf-0.1]\'','\'(0.037631-0.075261]\'','\'(0.233179-0.310905]\'','\'(0.061076-0.091614]\'','\'(0.4-0.5]\'','\'(0.261628-0.348837]\'','\'(0.6-0.7]\'',6
'\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(0.037631-0.075261]\'','\'(0.077726-0.155452]\'','\'(0.030538-0.061076]\'','\'(0.4-0.5]\'','\'(0.261628-0.348837]\'','\'(0.6-0.7]\'',6
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.078067-0.117101]\'','\'(-inf-0.1]\'','\'(0.112892-0.150523]\'','\'(0.388631-0.466357]\'','\'(0.122152-0.152689]\'','\'(0.4-0.5]\'','\'(0.348837-0.436047]\'','\'(0.3-0.4]\'',6
'\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.156135-0.195169]\'','\'(-inf-0.1]\'','\'(0.225784-0.263415]\'','\'(0.310905-0.388631]\'','\'(0.152689-0.183227]\'','\'(0.2-0.3]\'','\'(0.348837-0.436047]\'','\'(0.3-0.4]\'',6
'\'(0.4-0.5]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(0.150523-0.188153]\'','\'(0.233179-0.310905]\'','\'(0.061076-0.091614]\'','\'(0.3-0.4]\'','\'(0.348837-0.436047]\'','\'(0.4-0.5]\'',7
'\'(-inf-0.1]\'','\'(0.5-0.6]\'','\'(-inf-0.1]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(-inf-0.037631]\'','\'(-inf-0.077726]\'','\'(0.091614-0.122152]\'','\'(0.5-0.6]\'','\'(0.087209-0.174419]\'','\'(0.8-0.9]\'',4
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(-inf-0.039034]\'','\'(0.4-0.5]\'','\'(-inf-0.037631]\'','\'(0.077726-0.155452]\'','\'(0.061076-0.091614]\'','\'(0.2-0.3]\'','\'(0.436047-0.523256]\'','\'(0.5-0.6]\'',6
'\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.039034-0.078067]\'','\'(0.1-0.2]\'','\'(0.075261-0.112892]\'','\'(0.077726-0.155452]\'','\'(0.030538-0.061076]\'','\'(0.3-0.4]\'','\'(0.174419-0.261628]\'','\'(0.5-0.6]\'',6
'\'(0.1-0.2]\'','\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(0.075261-0.112892]\'','\'(0.155452-0.233179]\'','\'(-inf-0.030538]\'','\'(0.4-0.5]\'','\'(0.697674-0.784884]\'','\'(0.9-inf)\'',7
'\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.039034-0.078067]\'','\'(-inf-0.1]\'','\'(0.075261-0.112892]\'','\'(0.155452-0.233179]\'','\'(0.061076-0.091614]\'','\'(0.4-0.5]\'','\'(0.436047-0.523256]\'','\'(0.7-0.8]\'',7
'\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(0.075261-0.112892]\'','\'(0.155452-0.233179]\'','\'(-inf-0.030538]\'','\'(0.3-0.4]\'','\'(0.087209-0.174419]\'','\'(0.7-0.8]\'',7
'\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(0.039034-0.078067]\'','\'(-inf-0.1]\'','\'(0.112892-0.150523]\'','\'(0.233179-0.310905]\'','\'(0.061076-0.091614]\'','\'(0.4-0.5]\'','\'(0.174419-0.261628]\'','\'(0.5-0.6]\'',7
'\'(0.3-0.4]\'','\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.078067-0.117101]\'','\'(-inf-0.1]\'','\'(0.150523-0.188153]\'','\'(0.233179-0.310905]\'','\'(0.030538-0.061076]\'','\'(0.4-0.5]\'','\'(-inf-0.087209]\'','\'(0.9-inf)\'',6
'\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(0.1-0.2]\'','\'(0.075261-0.112892]\'','\'(0.155452-0.233179]\'','\'(0.061076-0.091614]\'','\'(0.4-0.5]\'','\'(0.261628-0.348837]\'','\'(0.4-0.5]\'',6
'\'(-inf-0.1]\'','\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(0.075261-0.112892]\'','\'(0.155452-0.233179]\'','\'(-inf-0.030538]\'','\'(0.4-0.5]\'','\'(0.697674-0.784884]\'','\'(0.9-inf)\'',7
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.3-0.4]\'','\'(0.078067-0.117101]\'','\'(0.1-0.2]\'','\'(0.150523-0.188153]\'','\'(0.388631-0.466357]\'','\'(0.152689-0.183227]\'','\'(0.4-0.5]\'','\'(0.348837-0.436047]\'','\'(0.2-0.3]\'',5
'\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(0.075261-0.112892]\'','\'(0.233179-0.310905]\'','\'(-inf-0.030538]\'','\'(0.3-0.4]\'','\'(0.174419-0.261628]\'','\'(0.9-inf)\'',7
'\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(0.075261-0.112892]\'','\'(0.155452-0.233179]\'','\'(-inf-0.030538]\'','\'(0.2-0.3]\'','\'(0.174419-0.261628]\'','\'(0.8-0.9]\'',6
'\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(-inf-0.039034]\'','\'(0.1-0.2]\'','\'(0.075261-0.112892]\'','\'(0.233179-0.310905]\'','\'(0.061076-0.091614]\'','\'(0.2-0.3]\'','\'(0.348837-0.436047]\'','\'(0.5-0.6]\'',6
'\'(0.3-0.4]\'','\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.195169-0.234202]\'','\'(0.1-0.2]\'','\'(0.150523-0.188153]\'','\'(0.310905-0.388631]\'','\'(0.183227-0.213765]\'','\'(0.3-0.4]\'','\'(0.348837-0.436047]\'','\'(0.3-0.4]\'',5
'\'(0.4-0.5]\'','\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(0.1-0.2]\'','\'(0.037631-0.075261]\'','\'(0.155452-0.233179]\'','\'(0.091614-0.122152]\'','\'(0.2-0.3]\'','\'(0.174419-0.261628]\'','\'(0.3-0.4]\'',5
'\'(0.4-0.5]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(0.112892-0.150523]\'','\'(0.155452-0.233179]\'','\'(0.091614-0.122152]\'','\'(-inf-0.1]\'','\'(0.087209-0.174419]\'','\'(0.3-0.4]\'',5
'\'(0.2-0.3]\'','\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.117101-0.156135]\'','\'(0.1-0.2]\'','\'(0.075261-0.112892]\'','\'(0.155452-0.233179]\'','\'(0.152689-0.183227]\'','\'(0.4-0.5]\'','\'(0.087209-0.174419]\'','\'(0.3-0.4]\'',6
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.039034-0.078067]\'','\'(0.1-0.2]\'','\'(0.037631-0.075261]\'','\'(0.155452-0.233179]\'','\'(0.061076-0.091614]\'','\'(0.3-0.4]\'','\'(0.087209-0.174419]\'','\'(0.5-0.6]\'',5
'\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.195169-0.234202]\'','\'(0.1-0.2]\'','\'(0.075261-0.112892]\'','\'(0.310905-0.388631]\'','\'(0.213765-0.244303]\'','\'(0.4-0.5]\'','\'(0.348837-0.436047]\'','\'(0.1-0.2]\'',5
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(0.075261-0.112892]\'','\'(0.155452-0.233179]\'','\'(0.030538-0.061076]\'','\'(0.2-0.3]\'','\'(0.174419-0.261628]\'','\'(0.6-0.7]\'',6
'\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(0.075261-0.112892]\'','\'(0.155452-0.233179]\'','\'(-inf-0.030538]\'','\'(0.3-0.4]\'','\'(0.174419-0.261628]\'','\'(0.8-0.9]\'',6
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.078067-0.117101]\'','\'(0.1-0.2]\'','\'(0.112892-0.150523]\'','\'(0.233179-0.310905]\'','\'(0.091614-0.122152]\'','\'(0.4-0.5]\'','\'(0.436047-0.523256]\'','\'(0.5-0.6]\'',8
'\'(0.4-0.5]\'','\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.039034-0.078067]\'','\'(-inf-0.1]\'','\'(0.075261-0.112892]\'','\'(0.077726-0.155452]\'','\'(0.091614-0.122152]\'','\'(0.2-0.3]\'','\'(0.348837-0.436047]\'','\'(0.4-0.5]\'',4
'\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(0.075261-0.112892]\'','\'(0.155452-0.233179]\'','\'(0.091614-0.122152]\'','\'(0.5-0.6]\'','\'(0.348837-0.436047]\'','\'(0.4-0.5]\'',6
'\'(0.3-0.4]\'','\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(0.234202-0.273236]\'','\'(0.1-0.2]\'','\'(0.150523-0.188153]\'','\'(0.388631-0.466357]\'','\'(0.213765-0.244303]\'','\'(0.3-0.4]\'','\'(0.348837-0.436047]\'','\'(0.2-0.3]\'',5
'\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.078067-0.117101]\'','\'(-inf-0.1]\'','\'(0.037631-0.075261]\'','\'(0.155452-0.233179]\'','\'(0.122152-0.152689]\'','\'(0.6-0.7]\'','\'(0.436047-0.523256]\'','\'(0.3-0.4]\'',6
'\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.078067-0.117101]\'','\'(0.5-0.6]\'','\'(0.150523-0.188153]\'','\'(0.310905-0.388631]\'','\'(0.152689-0.183227]\'','\'(0.4-0.5]\'','\'(0.174419-0.261628]\'','\'(0.2-0.3]\'',5
'\'(0.4-0.5]\'','\'(-inf-0.1]\'','\'(0.2-0.3]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(0.112892-0.150523]\'','\'(0.155452-0.233179]\'','\'(0.061076-0.091614]\'','\'(0.1-0.2]\'','\'(0.436047-0.523256]\'','\'(0.6-0.7]\'',6
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.078067-0.117101]\'','\'(0.1-0.2]\'','\'(0.150523-0.188153]\'','\'(0.310905-0.388631]\'','\'(0.091614-0.122152]\'','\'(0.4-0.5]\'','\'(0.436047-0.523256]\'','\'(0.4-0.5]\'',6
'\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.2-0.3]\'','\'(0.117101-0.156135]\'','\'(0.1-0.2]\'','\'(0.112892-0.150523]\'','\'(0.310905-0.388631]\'','\'(0.152689-0.183227]\'','\'(0.4-0.5]\'','\'(0.261628-0.348837]\'','\'(0.2-0.3]\'',5
'\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(-inf-0.039034]\'','\'(0.1-0.2]\'','\'(0.075261-0.112892]\'','\'(0.233179-0.310905]\'','\'(0.061076-0.091614]\'','\'(0.4-0.5]\'','\'(0.174419-0.261628]\'','\'(0.3-0.4]\'',5
'\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(-inf-0.039034]\'','\'(0.1-0.2]\'','\'(0.075261-0.112892]\'','\'(0.155452-0.233179]\'','\'(0.061076-0.091614]\'','\'(0.4-0.5]\'','\'(0.261628-0.348837]\'','\'(0.4-0.5]\'',6
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(-inf-0.1]\'','\'(0.078067-0.117101]\'','\'(0.1-0.2]\'','\'(0.075261-0.112892]\'','\'(0.233179-0.310905]\'','\'(0.122152-0.152689]\'','\'(0.2-0.3]\'','\'(0.348837-0.436047]\'','\'(0.3-0.4]\'',6
'\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(0.1-0.2]\'','\'(0.078067-0.117101]\'','\'(0.1-0.2]\'','\'(0.150523-0.188153]\'','\'(0.310905-0.388631]\'','\'(0.091614-0.122152]\'','\'(0.4-0.5]\'','\'(0.436047-0.523256]\'','\'(0.4-0.5]\'',6
'\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(0.075261-0.112892]\'','\'(0.233179-0.310905]\'','\'(0.030538-0.061076]\'','\'(0.5-0.6]\'','\'(0.174419-0.261628]\'','\'(0.7-0.8]\'',6
'\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.1-0.2]\'','\'(-inf-0.039034]\'','\'(-inf-0.1]\'','\'(0.112892-0.150523]\'','\'(0.233179-0.310905]\'','\'(0.030538-0.061076]\'','\'(0.5-0.6]\'','\'(0.174419-0.261628]\'','\'(0.7-0.8]\'',7
